frame,timestamp_ms,mp_pose_detected,mp_mean_visibility,mn_pose_detected,mn_mean_score
0,0,True,0.9113836451010271,True,0.6247153878211975
1,33,True,0.9140758378939196,True,0.6180792450904846
2,66,True,0.9162552103851781,True,0.63860023021698
3,99,True,0.9173642523360975,True,0.6212096810340881
4,133,True,0.918883642463973,True,0.6118249297142029
5,166,True,0.9205615430167227,True,0.5849214792251587
6,199,True,0.9217775987856316,True,0.5930374264717102
7,233,True,0.9226757486661276,True,0.6029362082481384
8,266,True,0.9232829023491252,True,0.6019437313079834
9,299,True,0.9243501704750638,True,0.5951693654060364
10,333,True,0.9251878640868447,True,0.5782576203346252
11,366,True,0.9260216138579629,True,0.5706579685211182
12,399,True,0.9265048774805936,True,0.6025739312171936
13,433,True,0.9271309077739716,True,0.6005423069000244
14,466,True,0.9266310559980797,True,0.5810293555259705
15,499,True,0.9268283365350781,True,0.5968213677406311
16,533,True,0.9269411618059332,True,0.5705159902572632
17,566,True,0.9272875108502128,True,0.5818943977355957
18,599,True,0.9274960015759324,True,0.6097834706306458
19,633,True,0.9264753740845304,True,0.5988470911979675
20,666,True,0.9256207012768948,True,0.589914083480835
21,699,True,0.9262528654300806,True,0.5958889722824097
22,733,True,0.9264778738672083,True,0.5995627641677856
23,766,True,0.9264163158156655,True,0.5813800692558289
24,799,True,0.9276798963546753,True,0.6166882514953613
25,833,True,0.9291540004990317,True,0.6317992210388184
26,866,True,0.9288230691895341,True,0.6165805459022522
27,899,True,0.9288157983259722,True,0.6227455139160156
28,933,True,0.9291998680793878,True,0.6324999928474426
29,966,True,0.9298331331123005,True,0.6211394667625427
30,999,True,0.9300159441702294,True,0.6098617911338806
31,1033,True,0.9302896983695753,True,0.5802822113037109
32,1066,True,0.9302860408118276,True,0.613880455493927
33,1099,True,0.9301940979379596,True,0.6041779518127441
34,1132,True,0.9304808603994774,True,0.6247668266296387
35,1166,True,0.9301321018825878,True,0.5942888259887695
36,1199,True,0.9294237205476472,True,0.6155446767807007
37,1232,True,0.9282032170078971,True,0.5964455604553223
38,1266,True,0.9286424544724551,True,0.5895116329193115
39,1299,True,0.9288430737726616,True,0.6357622146606445
40,1332,True,0.9285530050595602,True,0.6367997527122498
41,1366,True,0.9294725295269128,True,0.602944552898407
42,1399,True,0.931162136070656,True,0.5749877095222473
43,1432,True,0.9329341767412244,True,0.5781235694885254
44,1466,True,0.9345985958070466,True,0.5565518140792847
45,1499,True,0.9313680376067306,True,0.5859480500221252
46,1532,True,0.9315993867137216,True,0.5803790092468262
47,1566,True,0.9339134846672867,True,0.6065279245376587
48,1599,True,0.9358906095678156,True,0.5992487072944641
49,1632,True,0.9377247727278507,True,0.5488948822021484
50,1666,True,0.9380192250916453,True,0.5746987462043762
51,1699,True,0.9382060314669753,True,0.5491846203804016
52,1732,True,0.9385680249243071,True,0.5239128470420837
53,1766,True,0.9391927032759695,True,0.4782998263835907
54,1799,True,0.9363332535281326,True,0.44118043780326843
55,1832,True,0.93526788371982,True,0.49474143981933594
56,1866,True,0.9348703821500143,True,0.5712195038795471
57,1899,True,0.9337577223777771,True,0.5389573574066162
58,1932,True,0.9334303592190598,True,0.538025975227356
59,1966,True,0.9325253746726296,True,0.562242865562439
60,1999,True,0.9314591758178942,True,0.5571876764297485
61,2032,True,0.9310134847958883,True,0.5330718159675598
62,2066,True,0.9310365535996177,True,0.5400834679603577
63,2099,True,0.9308550809368943,True,0.5240347385406494
64,2132,True,0.9311284820238749,True,0.5477186441421509
65,2165,True,0.9315256566712351,True,0.5728106498718262
66,2199,True,0.9301238475423871,True,0.6001589298248291
67,2232,True,0.930579707478032,True,0.6272093653678894
68,2265,True,0.9305596929607969,True,0.6529070734977722
69,2299,True,0.9301755229632059,True,0.6194308400154114
70,2332,True,0.9302443193666863,True,0.618988573551178
71,2365,True,0.929296797875202,True,0.621924877166748
72,2399,True,0.9303284106832562,True,0.6025330424308777
73,2432,True,0.9308198329174158,True,0.6141447424888611
74,2465,True,0.9305775445519071,True,0.6213697195053101
75,2499,True,0.9322392227071704,True,0.6743633151054382
76,2532,True,0.9320363582986774,True,0.5907614231109619
77,2565,True,0.9325576171730504,True,0.67731112241745
78,2599,True,0.9306416321884502,True,0.6651368141174316
79,2632,True,0.9258716250910903,True,0.6203017830848694
80,2665,True,0.9220851759115855,True,0.6393423080444336
81,2699,True,0.923261613556833,True,0.6147655844688416
82,2732,True,0.9233529910896764,True,0.5833435654640198
83,2765,True,0.9210741465741937,True,0.5534970760345459
84,2799,True,0.9189453784263495,True,0.5000150203704834
85,2832,True,0.9160185122128689,True,0.48451507091522217
86,2865,True,0.9100005735050548,True,0.48432642221450806
87,2899,True,0.9121800534652941,True,0.542166531085968
88,2932,True,0.9081220473303939,True,0.5658017992973328
89,2965,True,0.9048877466808666,True,0.5450705885887146
90,2999,True,0.9010622402032217,True,0.5980037450790405
91,3032,True,0.8994543832359891,True,0.6071209907531738
92,3065,True,0.8988343134070887,True,0.5696611404418945
93,3099,True,0.8954458634058634,True,0.5364624261856079
94,3132,True,0.893116601488807,True,0.5837555527687073
95,3165,True,0.892498948357322,True,0.6671891212463379
96,3198,True,0.8920082847277323,True,0.6206759214401245
97,3232,True,0.8910881073185892,True,0.6598355174064636
98,3265,True,0.8924194258270841,True,0.599272608757019
99,3298,True,0.8917915676579331,True,0.6005494594573975
100,3332,True,0.8951650659243265,True,0.6692491173744202
101,3365,True,0.8990711822654261,True,0.6504156589508057
102,3398,True,0.9022936441681602,True,0.6701664328575134
103,3432,True,0.8986267853866924,True,0.7740392684936523
104,3465,True,0.896957741542296,True,0.7772365212440491
105,3498,True,0.8937932948271433,True,0.6372309327125549
106,3532,True,0.8906540337837103,True,0.6755242347717285
107,3565,True,0.8900678537108682,True,0.5627698302268982
108,3598,True,0.8873929300091483,True,0.5424893498420715
109,3632,True,0.8845066021789204,True,0.5471477508544922
110,3665,True,0.8841752418966005,True,0.5261672139167786
111,3698,True,0.8803306781884396,True,0.5489872097969055
112,3732,True,0.8776244006373666,True,0.5182858109474182
113,3765,True,0.8640948524980834,True,0.5023951530456543
114,3798,True,0.8518220276543589,True,0.5362747311592102
115,3832,True,0.8404985314065759,True,0.5420563817024231
116,3865,True,0.8328447369011965,True,0.5398942232131958
117,3898,True,0.8255522946516672,True,0.5463023781776428
118,3932,True,0.816517530968695,True,0.5179799795150757
119,3965,True,0.8081712433786103,True,0.5155341625213623
120,3998,True,0.8015893038475153,True,0.5323533415794373
