frame,timestamp_ms,pose_detected,l_shoulder_x,l_shoulder_y,l_shoulder_vis,r_shoulder_x,r_shoulder_y,r_shoulder_vis,l_hip_x,l_hip_y,l_hip_vis,r_hip_x,r_hip_y,r_hip_vis,nose_x,nose_y,nose_vis,both_shoulders_visible,shoulder_angle_deg
0,0,True,0.5370748043060303,0.4726160764694214,0.9999889135360718,0.35996633768081665,0.49016353487968445,0.999902606010437,0.5196778774261475,0.6346833109855652,0.9995865225791931,0.4031243920326233,0.6363569498062134,0.9995100498199463,0.42189863324165344,0.4124298095703125,0.9999967813491821,True,174.34174548788596
1,33,True,0.5346111059188843,0.47204962372779846,0.9999892711639404,0.3549828827381134,0.49015673995018005,0.9999018311500549,0.5132110714912415,0.6351388692855835,0.9996019005775452,0.3987536132335663,0.6363140344619751,0.9995192885398865,0.41910162568092346,0.41189172863960266,0.9999966621398926,True,174.24384095355066
2,66,True,0.5273345112800598,0.4716179072856903,0.99998939037323,0.34498608112335205,0.49021461606025696,0.9999017119407654,0.5053731203079224,0.6356222033500671,0.9996099472045898,0.39066755771636963,0.6366719603538513,0.9995219111442566,0.40861836075782776,0.41182631254196167,0.9999966025352478,True,174.17685288714048
3,99,True,0.5145089030265808,0.47110921144485474,0.9999894499778748,0.32985687255859375,0.4902394711971283,0.9999021291732788,0.4935579001903534,0.6356629729270935,0.9996201395988464,0.3791636526584625,0.6369875073432922,0.9995251297950745,0.3963925540447235,0.41152223944664,0.9999964833259583,True,174.0851629291329
4,133,True,0.4994692802429199,0.4700579047203064,0.9999892711639404,0.31697818636894226,0.49023595452308655,0.9999035596847534,0.4853178858757019,0.6357249021530151,0.9996207356452942,0.3713191747665405,0.6376782059669495,0.999523937702179,0.3846443295478821,0.41039595007896423,0.9999964237213135,True,173.6904323998818
5,166,True,0.48727360367774963,0.46926361322402954,0.9999876618385315,0.30329495668411255,0.49020928144454956,0.9999009966850281,0.47840526700019836,0.6350979208946228,0.9995842576026917,0.36333221197128296,0.6376982927322388,0.9994956254959106,0.3731984496116638,0.40945911407470703,0.9999959468841553,True,173.50493464345195
6,199,True,0.4769870936870575,0.46873170137405396,0.9999868273735046,0.29194122552871704,0.49019762873649597,0.9999025464057922,0.4666581451892853,0.6344823837280273,0.9995869398117065,0.3516371250152588,0.6376486420631409,0.9995031952857971,0.3591671288013458,0.40836861729621887,0.9999959468841553,True,173.38307675715112
7,233,True,0.4673512578010559,0.46737033128738403,0.9999858140945435,0.28197723627090454,0.4902428090572357,0.9999033808708191,0.45974600315093994,0.6346038579940796,0.9995762705802917,0.34345707297325134,0.6386080980300903,0.9994990825653076,0.34879735112190247,0.40660640597343445,0.9999958872795105,True,172.96607909164945
8,266,True,0.4618552029132843,0.4673256576061249,0.999983549118042,0.2732294499874115,0.49022403359413147,0.9999017715454102,0.4531083405017853,0.6333288550376892,0.9995511174201965,0.3362768292427063,0.6385629773139954,0.9994824528694153,0.3387744724750519,0.40462252497673035,0.9999954700469971,True,173.0784009312145
9,299,True,0.45739078521728516,0.466804563999176,0.999982476234436,0.2689095139503479,0.49011486768722534,0.9999033212661743,0.4475921392440796,0.6333500146865845,0.9995407462120056,0.3312668800354004,0.638698935508728,0.9994704723358154,0.33320119976997375,0.40351998805999756,0.9999951720237732,True,172.94977994698553
10,333,True,0.45512309670448303,0.4659958481788635,0.9999819397926331,0.26546135544776917,0.48926863074302673,0.9999058842658997,0.4452463984489441,0.6337507367134094,0.9995353817939758,0.3283562958240509,0.6388673782348633,0.9994708299636841,0.33142203092575073,0.4031290113925934,0.999995231628418,True,173.00439007074564
11,366,True,0.4531863331794739,0.4658741354942322,0.999982476234436,0.2630285918712616,0.487480103969574,0.9999100565910339,0.4420080780982971,0.6342936754226685,0.9995537996292114,0.32530677318573,0.6389226913452148,0.9994891881942749,0.33042603731155396,0.40305235981941223,0.9999954700469971,True,173.51777877409697
12,399,True,0.45278313755989075,0.4659014046192169,0.9999827146530151,0.2630012035369873,0.4865560829639435,0.9999136328697205,0.4399224519729614,0.6344307661056519,0.9995654821395874,0.32369089126586914,0.6390494704246521,0.9995052814483643,0.33159124851226807,0.40248093008995056,0.9999956488609314,True,173.78873254662938
13,432,True,0.45376232266426086,0.4661560654640198,0.9999834299087524,0.2638668715953827,0.4858708679676056,0.9999178051948547,0.44021737575531006,0.6344621181488037,0.9995900988578796,0.3240542411804199,0.639234185218811,0.9995299577713013,0.33421680331230164,0.40141168236732483,0.9999958872795105,True,174.07282972910423
14,466,True,0.45608359575271606,0.4667917490005493,0.9999830722808838,0.2662314176559448,0.48589807748794556,0.9999205470085144,0.4405216574668884,0.6345731616020203,0.999600887298584,0.32485878467559814,0.6396865844726562,0.9995452165603638,0.3368026316165924,0.4013170003890991,0.9999958872795105,True,174.25322085891372
15,499,True,0.457655131816864,0.4677496552467346,0.9999836087226868,0.2682240903377533,0.4858451783657074,0.9999234080314636,0.44238102436065674,0.6353476643562317,0.9996155500411987,0.326393187046051,0.6407891511917114,0.9995588660240173,0.337859570980072,0.40130481123924255,0.9999959468841553,True,174.54334090874818
16,532,True,0.4586682915687561,0.46858564019203186,0.9999834299087524,0.2704925239086151,0.4857892096042633,0.9999253153800964,0.4430365264415741,0.6349630951881409,0.999614953994751,0.326874703168869,0.6402903199195862,0.9995691180229187,0.34370696544647217,0.4022974967956543,0.9999959468841553,True,174.77637616186044
17,566,True,0.4654074013233185,0.4702785909175873,0.9999832510948181,0.2790161669254303,0.4858858287334442,0.999925971031189,0.4441792666912079,0.6356266140937805,0.9996139407157898,0.3295372724533081,0.640625,0.9995763897895813,0.3526706099510193,0.4030625522136688,0.9999959468841553,True,175.21357486043928
18,599,True,0.47444814443588257,0.47140568494796753,0.9999833106994629,0.2894414961338043,0.485942542552948,0.999928891658783,0.45020776987075806,0.6352251172065735,0.9996083974838257,0.33827802538871765,0.640232264995575,0.9995841979980469,0.36613738536834717,0.4050807058811188,0.9999960660934448,True,175.5072273936214
