frame,timestamp_ms,pose_detected,l_shoulder_x,l_shoulder_y,l_shoulder_vis,r_shoulder_x,r_shoulder_y,r_shoulder_vis,l_hip_x,l_hip_y,l_hip_vis,r_hip_x,r_hip_y,r_hip_vis,nose_x,nose_y,nose_vis,both_shoulders_visible,shoulder_angle_deg
0,0,True,0.5301962494850159,0.613855242729187,0.9997114539146423,0.33132320642471313,0.6181808710098267,0.9991586208343506,0.4958442449569702,0.7784462571144104,0.9976943135261536,0.369735449552536,0.7761498093605042,0.9955289959907532,0.41824835538864136,0.5481918454170227,0.9991663694381714,True,178.75397304899028
1,32,True,0.530106246471405,0.6132872700691223,0.999720573425293,0.331832617521286,0.6179285645484924,0.9991347789764404,0.4955901503562927,0.7790957689285278,0.9977130889892578,0.37090709805488586,0.7774629592895508,0.9954898357391357,0.4184119403362274,0.5481818914413452,0.9991917610168457,True,178.65903483888826
2,65,True,0.5302917957305908,0.6132659316062927,0.9997274875640869,0.3324461579322815,0.6179009079933167,0.9991289377212524,0.496144562959671,0.7827411890029907,0.9977390766143799,0.3734155297279358,0.7821855545043945,0.9954663515090942,0.41843345761299133,0.5481817126274109,0.9991968870162964,True,178.65796375234515
3,98,True,0.5307707190513611,0.6131437420845032,0.999719500541687,0.3338198959827423,0.6170640587806702,0.9991209506988525,0.4971105456352234,0.7833002209663391,0.9976776242256165,0.37412235140800476,0.7820241451263428,0.9954373240470886,0.4188517928123474,0.5481632351875305,0.9992143511772156,True,178.85967502312184
4,131,True,0.5307719707489014,0.6129916906356812,0.9997279047966003,0.3345200717449188,0.617073118686676,0.9991063475608826,0.4971078932285309,0.7853638529777527,0.9976063966751099,0.37431833148002625,0.7855726480484009,0.9951528310775757,0.41980329155921936,0.5481626391410828,0.9992210865020752,True,178.80859804334528
5,164,True,0.5306332111358643,0.6126007437705994,0.9997474551200867,0.3358071744441986,0.6170566082000732,0.999133825302124,0.49801936745643616,0.7904070615768433,0.9977473616600037,0.37524235248565674,0.7882173657417297,0.9953557848930359,0.4217911660671234,0.5480316281318665,0.9992715120315552,True,178.68981718507573
6,197,True,0.530042827129364,0.6123995184898376,0.9997639656066895,0.3360683023929596,0.616560697555542,0.9991729259490967,0.49830740690231323,0.7901940941810608,0.9977889060974121,0.375211238861084,0.7887501120567322,0.9953485727310181,0.42183518409729004,0.5478280186653137,0.9993243217468262,True,178.77106833678044
7,230,True,0.5298228859901428,0.6121367812156677,0.9997735619544983,0.336267352104187,0.6165273189544678,0.9991710186004639,0.4982011020183563,0.7906945943832397,0.9978252649307251,0.3747142255306244,0.7891629338264465,0.9952870607376099,0.4216964840888977,0.5478076934814453,0.9993635416030884,True,178.70054787784034
8,263,True,0.5296820402145386,0.611865222454071,0.999775230884552,0.33545321226119995,0.6165903210639954,0.9991599321365356,0.4981270134449005,0.7902284264564514,0.9978507161140442,0.37370288372039795,0.7887265086174011,0.9953073859214783,0.42168259620666504,0.5471699237823486,0.9993914365768433,True,178.6064127457161
9,296,True,0.5295546054840088,0.6116912364959717,0.9997673630714417,0.33467838168144226,0.6160100102424622,0.9991560578346252,0.4967992603778839,0.7899521589279175,0.9977971911430359,0.37140440940856934,0.7884826064109802,0.9952289462089539,0.4217093884944916,0.546687126159668,0.999423623085022,True,178.73044024975312
10,329,True,0.5281477570533752,0.6115873456001282,0.9997553825378418,0.3336806893348694,0.6138814091682434,0.9991572499275208,0.49618932604789734,0.7897384762763977,0.9977014660835266,0.369072288274765,0.7883623838424683,0.9951767921447754,0.4216257333755493,0.546447217464447,0.9994508624076843,True,179.32413202241975
11,362,True,0.5277471542358398,0.6117602586746216,0.9997432231903076,0.3304484188556671,0.6134393811225891,0.9991580247879028,0.49481654167175293,0.7927733063697815,0.9976065158843994,0.36389318108558655,0.7905752062797546,0.9950944185256958,0.42160478234291077,0.5458100438117981,0.9994857907295227,True,179.51239268344204
12,395,True,0.5271843075752258,0.6117621064186096,0.9997297525405884,0.3303993344306946,0.6129341721534729,0.9991769790649414,0.4935742914676666,0.7927764654159546,0.9975447654724121,0.36143702268600464,0.7903003692626953,0.9951300621032715,0.42106056213378906,0.5449325442314148,0.9995180368423462,True,179.658746169656
13,428,True,0.5257201194763184,0.6117296814918518,0.9997110366821289,0.3281422555446625,0.6097983121871948,0.9991891980171204,0.49057531356811523,0.789824366569519,0.997460126876831,0.35865676403045654,0.788776695728302,0.9952071905136108,0.4207368493080139,0.5447386503219604,0.999544620513916,True,-179.43993834557554
14,461,True,0.5250880718231201,0.6120156645774841,0.9997052550315857,0.32686832547187805,0.6098880767822266,0.999200165271759,0.48767468333244324,0.7912469506263733,0.9974061846733093,0.35565245151519775,0.7897740602493286,0.9952925443649292,0.42008253931999207,0.5446357727050781,0.9995666146278381,True,-179.38504047936183
15,494,True,0.5245110392570496,0.6128876209259033,0.999679446220398,0.3253439962863922,0.6099235415458679,0.9992157816886902,0.48679742217063904,0.7940257787704468,0.9973205327987671,0.35516953468322754,0.7930306792259216,0.9953829646110535,0.42005738615989685,0.5441717505455017,0.9995973706245422,True,-179.14736544997635
16,527,True,0.5244316458702087,0.6129313111305237,0.9995716214179993,0.32507216930389404,0.6094871759414673,0.9991773366928101,0.48672667145729065,0.7940135598182678,0.9971729516983032,0.3548223376274109,0.7927013039588928,0.9953433871269226,0.4200497567653656,0.5430195331573486,0.9995865821838379,True,-179.0102563211212
17,560,True,0.5244119167327881,0.6132403612136841,0.9995711445808411,0.3251047432422638,0.6089771389961243,0.9992193579673767,0.4868221580982208,0.7942228317260742,0.9970868825912476,0.3551647663116455,0.7941951751708984,0.9954162240028381,0.4200448989868164,0.5430256128311157,0.9996200799942017,True,-178.77461813121076
