frame,timestamp_ms,angle_l_elbow,angle_r_elbow,angle_l_shoulder,angle_r_shoulder,angle_l_knee,angle_r_knee,angle_l_hip,angle_r_hip,torso_tilt_deg,head_tilt_deg,center_of_mass_x,center_of_mass_y,shoulder_level_diff,hip_level_diff,symmetry_elbow_diff,symmetry_shoulder_diff,symmetry_knee_diff,symmetry_hip_diff,symmetry_mean_diff,foot_separation,foot_height_diff,left_wrist_speed,left_wrist_accel,left_wrist_jerk,right_wrist_speed,right_wrist_accel,right_wrist_jerk,left_ankle_speed,left_ankle_accel,left_ankle_jerk,right_ankle_speed,right_ankle_accel,right_ankle_jerk,left_shoulder_speed,left_shoulder_accel,left_shoulder_jerk,right_shoulder_speed,right_shoulder_accel,right_shoulder_jerk,hand_left_thumb_curl_angle,hand_left_thumb_extended,hand_left_thumb_tip_to_wrist,hand_left_index_curl_angle,hand_left_index_extended,hand_left_index_tip_to_wrist,hand_left_middle_curl_angle,hand_left_middle_extended,hand_left_middle_tip_to_wrist,hand_left_ring_curl_angle,hand_left_ring_extended,hand_left_ring_tip_to_wrist,hand_left_pinky_curl_angle,hand_left_pinky_extended,hand_left_pinky_tip_to_wrist,hand_left_thumb_to_index_tip,hand_left_thumb_to_middle_tip,hand_left_thumb_to_ring_tip,hand_left_thumb_to_pinky_tip,hand_left_index_middle_spread,hand_left_middle_ring_spread,hand_left_ring_pinky_spread,hand_left_orientation_deg,hand_right_thumb_curl_angle,hand_right_thumb_extended,hand_right_thumb_tip_to_wrist,hand_right_index_curl_angle,hand_right_index_extended,hand_right_index_tip_to_wrist,hand_right_middle_curl_angle,hand_right_middle_extended,hand_right_middle_tip_to_wrist,hand_right_ring_curl_angle,hand_right_ring_extended,hand_right_ring_tip_to_wrist,hand_right_pinky_curl_angle,hand_right_pinky_extended,hand_right_pinky_tip_to_wrist,hand_right_thumb_to_index_tip,hand_right_thumb_to_middle_tip,hand_right_thumb_to_ring_tip,hand_right_thumb_to_pinky_tip,hand_right_index_middle_spread,hand_right_middle_ring_spread,hand_right_ring_pinky_spread,hand_right_orientation_deg
0,0,6.3426594466639905,8.270319098546803,98.76442627563462,97.1033824068836,175.38162918801487,175.47918584962602,177.49529979429963,168.44186649950228,0.3787379033185071,2.3419902229955962,0.54971475,0.560899,-0.004344999999999988,-0.0008190000000000142,1.9276596518828129,1.6610438687510225,0.09755666161115073,9.053433294797344,3.1849233692605825,0.03305715855907758,0.014403999999999972,0.06762608297413258,0.09660569262084566,1.4637226154673681,0.07617746349225692,0.19131356868551025,2.8986904346289433,0.05668121983738871,0.11844864345165822,1.7946764159350765,0.0735450018591523,0.17131362661994548,2.5956610093923898,0.016818416827909938,0.03115252219682702,0.47200791207228004,0.01579774865889966,0.041646386355074796,0.6310058538657816,,False,,,False,,,False,,,False,,,False,,,,,,,,,,,False,,,False,,,False,,,False,,,False,,,,,,,,,
1,33,6.215863523380467,8.6678411795857,98.82407860439601,96.74580058451093,175.49780076722647,175.66820302831334,177.10244689384015,168.39018846001974,0.46228606773762054,1.6115962725432809,0.549592,0.56026875,-0.003033000000000008,-0.0007920000000000149,2.4519776562052336,2.078278019885076,0.17040226108687762,8.71225843382041,3.353229092749399,0.0365180683497909,0.01702999999999999,0.0650766113551095,0.14490853893126882,1.6022002968199076,0.06992720162336272,0.28697035302826535,3.0493551752753025,0.05277528870118457,0.17767296517751574,1.921803554976053,0.06792627633483818,0.2569704399298944,2.7495073221870974,0.01660068568989098,0.04672878329521226,0.4716108392578622,0.014510875867076242,0.062469579532645585,0.6586874123440587,,False,,,False,,,False,,,False,,,False,,,,,,,,,,,False,,,False,,,False,,,False,,,False,,,,,,,,,
2,66,5.970962340203538,8.5715089922841,99.0397686716795,97.10823424899294,175.5446384534623,177.27471517679837,176.92738524324827,168.29431005152335,0.5473040429569944,0.3087139117912459,0.54930525,0.56039925,-0.0024900000000000477,-0.0008490000000000997,2.6005466520805616,1.9315344226865534,1.7300767233360546,8.633075191724913,3.7238082474570207,0.03997795633846229,0.01632699999999998,0.060160630307386734,0.20216740081669468,1.4191705501624874,0.05746806811202939,0.39256445166985454,0.24284975454151017,0.044964924976149914,0.24528724999248236,1.8074909896971907,0.05670947565219299,0.3527769355522175,1.2633102559195242,0.01635148680981913,0.06216887039608291,0.2411131024354162,0.011995479980692962,0.08511162663962481,0.7421643458502889,,False,,,False,,,False,,,False,,,False,,,,,,,,,,178.31985371348622,True,0.0800871627478462,177.61831776266266,True,0.10037067263399205,171.4050024867226,True,0.09452267455483895,166.88025121174238,True,0.08057538091749866,166.013165779877,True,0.07139581820386962,0.021352039340540724,0.015568854614261106,0.003771573809432897,0.009232373692610185,0.005891965546403001,0.014061296277370681,0.009188610395484222,86.4005100706897
3,99,6.011116520184827,8.661829577458976,99.08240710058027,97.28083429759668,175.88019215403983,178.16766204713272,176.76881507491998,168.49703016014337,0.6355390919449074,1.5723545468840134,0.54916,0.55989925,-0.002356999999999998,-0.0014979999999999993,2.6507130572741486,1.8015728029835856,2.28746989309289,8.271784914776617,3.7528851670318106,0.04073839315682438,0.014750999999999959,0.05471328008261999,0.23735134846204936,1.5058714140215994,0.04442906137670868,0.27794921698572866,2.9617128123588254,0.03660301807251471,0.29077350652064066,0.509195575135233,0.04485750306530681,0.33983762357503966,0.23611125042759254,0.01611475796210983,0.06162770379938893,0.2425947385635062,0.009465323775955619,0.109493899853762,0.4017520350276123,,False,,,False,,,False,,,False,,,False,,,,,,,,,,179.78126318110904,True,0.06906181234951776,179.84031708634262,True,0.0979644815838884,141.9775554806736,False,0.0786269369236778,157.78338362519585,False,0.07852041865018301,176.70022976198536,True,0.0795289410089183,0.0302839891196652,0.009575641231792276,0.009477093436281007,0.01293747629949516,0.02185402704308754,0.0011148026731221017,0.007541371559603661,77.75193040219192
4,133,5.918955751331752,8.686186618232375,99.36360136244824,97.09687842051308,176.11503071391257,179.46694588387027,176.2697862441572,168.88522262708386,0.4904421672826868,1.807883599049195,0.5486755,0.560086,-0.00149100000000002,-0.0013310000000000821,2.767230866900623,2.266722941935157,3.3519151699576923,7.384563617073326,3.9426081489666993,0.04453751254841246,0.015182000000000029,0.04837199965652254,0.16536354258737132,3.0715214621384863,0.039545765694264316,0.2022694548419944,6.932770656480675,0.025730999840413566,0.2501229974733847,3.065298841547533,0.03448040130105022,0.3591937187156239,1.0009346917199489,0.017043689867513544,0.06625376407031472,0.14402966902134878,0.0074145363617411225,0.11167661714479997,1.3774419223571512,,False,,,False,,,False,,,False,,,False,,,,,,,,,,178.58795821388733,True,0.06672968731381858,179.81224830268835,True,0.09193868624795548,178.10521854877746,True,0.0953211994574135,168.42886514303697,True,0.0824549177247785,177.91128636136474,True,0.07501339745005554,0.02642213632543743,0.029613174112208953,0.01589459788733263,0.01057048731137788,0.0034070287641874016,0.01411657681592821,0.008880951750797873,76.10060535709168
5,166,5.925953179484522,8.770810146649204,99.03449784431358,97.01820361191756,176.22633350821425,179.464836565987,176.22830715175542,168.94954141151473,0.5237930265082713,1.374520082879675,0.54842725,0.5601382500000001,-0.0013059999999999738,-0.0013410000000000366,2.8448569671646817,2.016294232396021,3.2385030577727605,7.2787657402406865,3.844604999393537,0.04490769605535334,0.01494200000000001,0.05255832741716598,0.10205154153770103,3.0182597191178813,0.03255982557554737,0.7395738219033007,9.916612881628282,0.019948162869858357,0.16168424120360445,2.374573407671946,0.021881926802068834,0.35030261882726377,2.4279309909247386,0.01775330032896766,0.06460051667204182,0.20397132612005175,0.00547754067345653,0.06287377451573914,2.029832709005587,,False,,,False,,,False,,,False,,,False,,,,,,,,,,177.900585964009,True,0.06490363161642035,178.2726665837005,True,0.09170648398014174,169.23353851927794,True,0.08643162271414319,176.7979626301315,True,0.09123877475065076,179.13812855777277,True,0.0801173837628264,0.027681046891329785,0.02192607954012752,0.027094009762307168,0.01677586796562253,0.006088336800802026,0.005381106298894277,0.011198061126820055,76.73183835620037
6,199,6.08228493432149,8.804613748079658,98.45624515996543,97.08620592458358,176.30565033576985,179.56253594843275,176.3786489104304,168.95371125075377,0.6864811053928743,1.9548690983245223,0.5480539999999999,0.560318,-0.0009520000000000084,-0.0013420000000000654,2.7223288137581685,1.370039235381853,3.2568856126628987,7.42493765967663,3.693547830369887,0.044865019469515446,0.015436000000000005,0.05084785561731474,0.18697107139779126,3.3847927398044786,0.013355263204464942,0.846243475067987,13.083855341652757,0.017485893623040587,0.17903215671656061,1.4060707607593548,0.011632554517558976,0.23597440394221447,3.7341422295687945,0.018151797245281574,0.05918484024686521,0.700818816757844,0.0035268277365274824,0.023198878298938432,1.4998090039844034,,False,,,False,,,False,,,False,,,False,,,,,,,,,,177.76882508104572,True,0.06273548116496759,176.33428367960917,True,0.08961106081840563,167.39960249609211,True,0.0841748576060572,176.64384375536807,True,0.08968353115817859,178.69844751405518,True,0.07411345957381833,0.02776684011550462,0.02188224641118914,0.02812914680540445,0.013764235721608366,0.006138244863150971,0.0068722077966254,0.015577951373656201,75.990525283794
7,233,6.028973825079181,8.856864150212228,98.33008974609109,97.02327286195143,176.3974010096587,179.908194658618,176.27770189738814,169.00371393614103,0.6692539951773181,2.898139829900897,0.548029,0.56036575,-0.0008239999999999914,-0.001338999999999979,2.8278903251330476,1.3068168841396641,3.510793648959293,7.273987961247116,3.72987220486978,0.04606782556188205,0.015765999999999947,0.040672504699993214,0.15077393822749116,3.4712934195507636,0.027604213565955295,0.1570137494286246,23.381309792562355,0.011267869790814445,0.16835948298321832,2.469803804573613,0.006266404789678406,0.11811426102165219,3.6643416311032544,0.019349704988063997,0.020985925675729506,2.371493515955591,0.00528932196321264,0.03762241339874615,0.12104032382965133,179.27466757243144,True,0.11203737532180946,179.5145816970858,True,0.13543362371287268,177.11643723654615,True,0.13577441409190463,175.93397671374916,True,0.12671082347613402,174.4040866047628,True,0.1013865253078534,0.02412186387906206,0.025151664457844513,0.0171371160059095,0.013538688747437884,0.0027019019227203667,0.009108366483623724,0.025328610384306494,90.96228285858754,178.74951121762672,True,0.0617465061116821,174.051875281894,True,0.0889584888866712,145.97541698379968,False,0.07212154259304217,175.39303569901202,True,0.08649452774597938,176.94999037974918,True,0.07169506651088345,0.02826941630101341,0.010375045301105938,0.026376372779440323,0.013324347075935872,0.018754737774759805,0.017421371932198705,0.014814185634046816,77.58586326448842
8,266,6.502148383098631,9.140839968844155,97.85814875536146,96.91774457145446,176.30111805911056,179.81054578808946,176.39172283079523,168.90892719368787,0.8115446012857912,2.140433128620877,0.547804,0.5602695,-0.0007840000000000069,-0.0015820000000000833,2.6386915857455238,0.9404041839069919,3.509427728978892,7.482795637107358,3.6428297839346913,0.0457841336709564,0.015164000000000066,0.040989899250034156,0.10580359896233604,0.43530337061704666,0.01424747746874461,0.723256978228134,5.829278400490141,0.0073854670178269514,0.11515027611017739,1.7326782518916766,0.00777542929647232,0.08165675959804412,0.555651716416274,0.01806775519218047,0.1112499706161721,2.58399965063544,0.005823987117602127,0.020208036298474893,0.9047276892521209,,False,,,False,,,False,,,False,,,False,,,,,,,,,,179.974173406563,True,0.06302200863983944,174.58966525732856,True,0.08674957290961145,152.40972665622408,False,0.07514985608103314,176.44505717889172,True,0.08740843575422225,179.21095408279817,True,0.07579085754891549,0.024649013225685117,0.012198284879441038,0.025985253087087712,0.016470904559252396,0.012949411917148946,0.014782017453649555,0.011866344213783775,77.05554947265115
9,299,6.532057981531772,9.424142744153164,98.4188457239428,96.82566803589047,176.01740419254972,179.46743798405222,175.40462564908668,169.2534075250958,0.5374744011275615,3.2146367653144146,0.5471695,0.5601447500000001,-0.00038399999999999546,-0.0011109999999999731,2.8920847626213915,1.5931776880523216,3.4500337915025057,6.151218123990873,3.5216285915417727,0.04662042102984487,0.015463999999999922,0.04012232787072683,0.1544782373191278,3.7613863399279945,0.026855251284765905,0.5203293108310841,13.926700467401835,0.0036861570674091857,0.10226461784538934,1.0783449209387048,0.00918926811696297,0.08147809953843767,2.472476880208946,0.012462717729515817,0.16598755633530685,0.33028547002964614,0.005023342272258826,0.034491567546566765,0.6183306061398226,,False,,,False,,,False,,,False,,,False,,,,,,,,,,179.1333151121002,True,0.06122134995244717,144.08640047951778,False,0.07162523277449089,178.9426235567917,True,0.08995357791661211,179.41943075391734,True,0.08807146003672243,178.03110275646935,True,0.0719033205144241,0.010584389448617245,0.030264270187797374,0.029037171849200433,0.014793815768759582,0.022262363980494103,0.0027486594914612563,0.01617083325002145,78.3355247619777
10,333,6.363936153114949,9.693530157690954,98.33456376548837,96.72810759915303,176.02678468801165,179.63214679949377,175.62479166072185,169.368985766247,0.674910251460027,4.5717876128959185,0.54678425,0.5602655,1.6000000000016e-05,-0.0011299999999999644,3.3295940045760055,1.6064561663353345,3.6053621114821226,6.255805894474861,3.699304544217081,0.04610682206572038,0.015295000000000059,0.03066369953805788,0.2118072554117073,2.10787858143991,0.037946668025612716,0.21051995980737104,23.75502609424423,0.0005347232885197311,0.05861412142547051,1.4490546213142605,0.00896691630725215,0.14139888369323297,2.4355810989811433,0.007392077803847676,0.13293477948015292,1.1599302536063025,0.004675160905221326,0.036724397933117034,1.295166032588833,,False,,,False,,,False,,,False,,,False,,,,,,,,,,179.89459951557643,True,0.06284911876072728,175.82755619032912,True,0.08842773270869271,177.98612628276936,True,0.09248515259218637,176.1325392908745,True,0.08740535164393542,178.55591449670723,True,0.07314697758622707,0.026476479467633134,0.0311983197784752,0.02621353476736779,0.013914275583011853,0.005214453950319242,0.005093269480402498,0.0143040092980954,78.5713232647084
